Service Level,Day,Month,Temp,Calls,AHT,Talk_Time
33,Monday,November,52.2,103454,100,1794
21,Thursday,February,41.6,103789,85,1689
31,Tuesday,January,42.0,105364,97,1798
34,Tuesday,November,60.4,105579,98,1517
28,Thursday,June,67.4,106732,78,1593
94,Tuesday,January,20.0,107197,66,1729
60,Thursday,January,23.0,107407,78,1843
49,Friday,February,22.1,108026,91,1772
35,Thursday,July,73.6,108131,113,1829
26,Tuesday,February,20.2,108923,98,2115
20,Sunday,January,30.7,108997,103,1081
30,Thursday,May,56.4,109172,69,1759
35,Tuesday,November,60.4,109626,105,1631
25,Thursday,April,42.5,111499,73,1579
37,Wednesday,February,34.5,112485,124,2039
22,Thursday,September,60.7,112536,62,1369
46,Thursday,May,60.1,112649,70,1874
93,Tuesday,January,16.5,113523,78,2031
23,Thursday,October,61.5,113916,69,1487
25,Thursday,November,35.8,114138,57,577
31,Wednesday,January,28.8,115770,77,896
37,Thursday,February,27.9,116469,122,1851
18,Wednesday,February,19.0,116739,69,2042
51,Friday,January,15.0,116761,100,2277
15,Wednesday,February,25.0,117643,76,2021
21,Monday,July,73.6,117813,74,1869
34,Monday,October,59.8,118600,65,1859
32,Thursday,December,46.2,118686,83,1046
21,Monday,September,69.5,118924,73,1808
42,Monday,December,29.3,119773,64,1812
22,Thursday,October,67.3,120274,69,1549
16,Wednesday,March,39.6,120591,83,1988
26,Thursday,November,49.9,121409,53,605
23,Thursday,April,39.0,121741,79,1810
87,Sunday,February,25.1,123392,34,1138
27,Thursday,October,51.3,123880,59,1698
16,Tuesday,February,20.5,124189,82,2222
34,Monday,October,59.6,126013,93,1037
30,Monday,January,25.5,127750,89,1152
24,Thursday,April,53.1,128009,73,1863
20,Monday,April,48.5,129107,66,1686
25,Friday,November,31.7,130506,89,1151
37,Monday,January,37.5,131158,117,1408
23,Monday,October,57.7,131382,71,1937
31,Monday,October,63.6,131514,85,1107
77,Wednesday,February,28.6,131589,59,2011
29,Friday,November,55.9,132937,82,1116
46,Tuesday,February,14.5,133567,72,2222
21,Thursday,September,69.8,134402,66,1768
44,Tuesday,February,28.5,135202,74,2350
88,Monday,March,46.8,135921,66,2180
22,Tuesday,February,19.5,136302,108,2292
22,Monday,September,67.4,143755,64,1988
47,Monday,January,38.5,146348,44,1272
30,Thursday,December,64.6,147232,71,938
32,Thursday,January,27.7,149578,111,1986
20,Tuesday,January,23.9,151038,60,1589
25,Monday,March,22.9,152408,60,1968
20,Thursday,February,30.6,154683,77,1919
24,Thursday,February,16.8,156470,61,2071
3,Sunday,January,28.4,158139,44,1171
46,Thursday,February,26.7,160155,67,2359
11,Monday,January,32.8,168012,82,2169
32,Wednesday,January,24.3,169193,100,2233
13,Tuesday,January,18.0,170189,100,2650
27,Thursday,March,25.7,171296,62,1874
60,Monday,January,32.5,171814,60,2377
21,Monday,February,21.9,172785,77,2318
21,Monday,February,24.2,173684,39,1535
90,Tuesday,February,30.5,176364,54,2238
33,Thursday,February,24.1,176597,53,1969
12,Monday,February,12.1,177847,80,1846
62,Friday,January,26.1,179468,55,1778
30,Monday,March,32.5,179649,53,2129
43,Monday,February,24.3,180365,68,2370
53,Thursday,January,13.5,180610,62,2605
31,Friday,July,73.0,181629,74,1348
23,Monday,January,24.9,182286,71,2360
31,Monday,February,25.9,189952,51,2354
21,Monday,January,28.0,190271,113,2376
19,Wednesday,February,31.5,190430,55,2466
13,Thursday,February,31.6,194464,44,1983
82,Tuesday,March,28.8,196800,51,2109
12,Friday,January,13.5,204667,57,2579
37,Monday,February,35.0,209727,57,2600
8,Monday,February,25.8,214605,73,2321
25,Tuesday,January,21.0,218811,61,3035
17,Wednesday,January,11.0,229501,52,2899
13,Thursday,January,27.3,239203,79,2366
